order_number,date,price,quantity,product_id,SKU,canceled,"""-S""","""-M""",-L,-XL,-XXL,TEM,TEH,TAM,TAH,CAA,CAS,HOP,HOZ,SHT,SHF,SHR,SHC,COT,COP,TEK,TAK,TEI,TAI,ACC,POL,CAP,JOG,POL,TAP,,Types ,,,,,,,,,
P046235,14/08/2017,62.72,1.00,85,MS110-TEK-GY-XL,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,MS212-TEK-OL-XL,,,,,,,
P046235,14/08/2017,53.63,1.00,86,MS245-TAK-BK-L,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,MS212-TEK-OL-XXL,,,,,,,
P046235,14/08/2017,53.63,1.00,87,MS247-TAK-WH-M,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,MS220-TEK-BK-S,,,,,,,
P046235,14/08/2017,71.81,1.00,88,MS055-SHT-BW-M,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,MS220-TEK-BK-M,,,,,,,
P046235,14/08/2017,99.09,1.00,89,MS275-HOZ-BN-M,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,MS220-TEK-BK-L,,,,,,,
P046235,14/08/2017,53.63,1.00,90,MS246-TAK-OL-M,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,MS220-TEK-BK-XL,,,,,,,
P046235,14/08/2017,62.72,1.00,91,MS210-TEK-BK-L,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,MS220-TEK-BK-XXL,,,,,,,
P046235,15/08/2017,53.63,1.00,92,MS135-TAK-BK-L,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,MS221-TEK-WH-S,,,,,,,
P046235,15/08/2017,71.81,1.00,93,MS260-SHT-GY-S,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,MS221-TEK-WH-M,,,,,,,
P046235,15/08/2017,53.63,1.00,94,MS135-TAK-BK-M,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,MS221-TEK-WH-L,,,,,,,
